timestamp	hf-hrv	posterior_alpha	frontal_alpha	frontal_theta	gamma	beta	state
217	0.13296785450280696	-0.45762880057876554	-0.4269431560530883	0.09558447065159469	0.49385629223844724	0.15178489475143045	3
218	-0.028588401816479148	-0.5110189276802666	-0.6019066802724333	0.3512159718145322	0.6661541160150647	0.27176063972478015	3
219	-0.01945833808871404	4.056175563863757	3.465222722736077	3.336788666948547	0.6526245351730072	1.5415069393450342	2
220	0.11236746180311691	4.706869700642844	4.511414120929063	3.6945930903954927	1.1340098877883964	2.4585427643819835	2
221	0.3055837113768994	0.46578108379398325	1.4464887469622836	0.49481357026536177	1.0806706617556614	1.135926710067734	2
222	0.5266846667170945	-0.20964705855166876	0.32275984781182293	-0.34367404148900693	0.7051571831771978	0.12128676911326139	3
223	0.7519718287663817	-0.7016495538749834	-0.8237417723176652	-0.23932012899736255	0.496287866845087	-0.05603527786384251	3
224	0.9644298306958982	-0.6338616542718803	-0.6800191709541971	-0.16650430027217902	0.31795250912113	0.30094003507078504	3
225	1.1505919093360366	-0.49541364375313846	-0.4714496107148671	-0.23075537944314478	0.6832357415160589	0.5147498574089194	3
226	1.2998192261564994	-0.387960313782641	-0.26773923028578145	-0.2050810262753555	0.6187203276703419	0.3567876247313313	3
227	1.404858103931249	-0.4813426511268101	-0.41846348643603315	-0.3708290212635612	0.4377308017662118	0.14118059344299097	3
228	1.4630393347847035	-0.351137505456703	-0.4508119583038357	-0.34480441165022246	0.46835118973094075	0.35878752256969126	3
229	1.476163357571101	-0.3886039462065329	-0.5120877430251212	-0.39516366144294024	0.7024446284419347	0.5929437054702938	3
230	1.4474605732479957	-0.6955163463613092	-0.7148182271628498	-0.28328749405535897	0.8368764909456257	0.3715848404514655	3
231	1.3803397480139217	-0.7231775703884389	-0.669384695465388	-0.1124977724152692	0.4718860599584609	-0.20267823482698097	3
232	1.2810639130498012	-0.6741285567474354	-0.6529285842324777	-0.026800001448315416	0.12348365600273199	-0.4551289701604098	0
233	1.1624063646380738	1.164977842882199	1.6438035730547087	0.7905461793489471	0.1502939373160225	0.11889937590101267	2
234	1.0372374088707328	1.6536918816756248	2.233313493313046	0.9492605291346563	0.11200661692325725	0.1433953132728331	2
235	0.9062030198116462	-0.08226907738579638	0.0813796165174033	0.1605860525396438	0.18137286855684756	-0.20411367566400349	3
236	0.7687773982256932	-0.3438770403234828	-0.32991984621707016	-0.3558088231734315	1.1127279689468692	0.6037959172680252	3
237	0.6370389435986047	-0.1007466336509398	-0.13702247079456592	-0.32873478270059764	1.4353422673687448	0.9944076981447233	3
238	0.530230637192942	1.1009871584232294	0.6788707757185486	2.5401149933068217	0.7777652496040643	1.027257650465319	2
239	0.4415348781052296	0.8323461399377818	0.39706804870479273	2.652523895065436	0.5694405107004105	0.5310890066177295	2
240	0.3461597168588428	-0.3780511880196742	-0.48307268745795623	0.22532319956933322	0.4554782720172799	-0.2720945491957988	3
241	0.23415995750099072	-0.23760476085409496	-0.21714126090207794	0.03784977559180606	0.18092241571489825	0.16055401336684516	3
242	0.10414758464576138	-0.055722435575186316	0.21222414685474217	0.40866737037884865	0.19550023668567953	0.24146068753990257	3
243	-0.03830340793213967	-0.13667744706889184	0.10064227346709252	0.699201841070571	0.29182815205886287	-0.13396479642483022	3
244	-0.1798126076921261	-0.5456775150653631	-0.5293447418088484	0.14458046038837322	0.1496984098701085	-0.2915541616829738	1
245	-0.31292085107289347	-0.5295107533911245	-0.45206584631580365	-0.19052028276446417	0.4412828848726368	0.11755536783864672	1
246	-0.43831318844072364	-0.36506153007645714	0.05530285764236504	-0.29677555935134553	0.4986697835220184	0.3438878427376379	1
247	-0.5472707463153865	-0.39712495464833214	-0.22115078643117295	-0.06227897597321966	0.27570856635049573	0.020399396142105525	1
248	-0.6111391118464782	-0.5480454369898347	-0.7372307525560816	-0.15956939815420304	0.44032996297041777	0.15021470685834115	1
249	-0.6054229339248982	-0.26042676700920764	0.0007033797986630339	-0.4658947923770618	0.49157622161259523	0.4674879659225556	1
250	-0.5477305736826228	-0.03930857835612759	0.5162260122053439	-0.5194539854897043	0.35432359339586483	0.49184337194179745	1
251	-0.4676405105077677	-0.2929836459371243	-0.03877504103613675	-0.26973279758956237	0.2898017246657615	0.19836512307447038	1
252	-0.3776518788001064	-0.4890318935081865	-0.2343785328480646	-0.07123128040155638	0.4417883406026581	0.48362431223237284	1
253	-0.2852034797161742	-0.6413709143895423	-0.3257285568704458	0.12960863337147438	0.8505889709287348	0.5373914466133524	3
254	-0.19467075466677014	-0.723826602717306	-0.6256862404023942	0.13655573859561287	0.8714866502328433	-0.06069549553710776	3
255	-0.10780949063234341	-0.7636134278181455	-0.7560564472299903	0.14070498160798267	0.5914104903952335	-0.10168513956553797	3
256	-0.025179824587660157	-0.6912314490547061	-0.5083666617268189	0.36240001411586814	0.6056897277062373	0.14392913219262335	3
257	0.05265459106708488	-0.20129085440591804	-0.038186367040846596	0.19169948985271615	0.4720041155391891	0.6824109549615786	3
258	0.12581729298727826	-0.11069766356046026	-0.16246720584377783	0.06552407516624693	0.4501531177767696	0.9369540716176737	3
259	0.1971853746204679	-0.5781747274973708	-0.5693509164931022	-0.26896446100016586	0.6076810300341322	0.6061146943040834	3
260	0.2717449872135309	-0.42698078862355077	-0.38335878639545246	-0.7130270702309234	0.48686526442961886	0.5057167934241993	3
261	0.3571602979720748	-0.2038264334513011	-0.2094873747446389	-0.21953296377987186	0.366908966965138	0.40173283026158885	3
262	0.45567452017708054	0.10796560558566509	-0.2067187688465191	0.6279487769701526	0.4108812849408025	0.2425981428542312	3
263	0.5579641547728554	-0.029938986787958383	-0.3749058034790986	0.4924359483536028	0.5651911641338221	0.29543085828708626	3
264	0.6533082805521526	-0.6693021546004698	-0.7315119504311145	-0.1392877695969894	0.8875844563182209	0.5651195977669784	3
265	0.735583477308649	-0.6913524463220512	-0.816247405274439	-0.04669599397813756	0.6854093903840143	0.6740488048787349	3
266	0.8020410379550678	-0.5290621594431502	-0.42334707708966196	-0.1851696765376081	0.5285476800720337	0.34652354338459807	3
267	0.8518199025099178	-0.3665339023613008	-0.11019573427442265	-0.5161007648223942	0.5582157679194898	-0.009356994731638152	3
268	0.8858952748557052	-0.41440744273596586	-0.44438650074794883	0.083253961967652	0.48083216449981225	0.08607444148965458	3
269	0.90724001252293	-0.5941888580898945	-0.7089746527716995	0.2184552990539661	0.4767401831406183	0.4965591814439447	3
270	0.9223822860582281	-0.6179842453927997	-0.5773667292718101	-0.1261522341906841	0.33844583110817955	0.7390478529384101	3
271	0.9453486530401385	-0.5449974465835895	-0.5072295578712831	-0.1428195702335523	0.3693998051112497	0.7819288739530816	3
272	0.9812026345344744	-0.5638063197838007	-0.6229343783065681	-0.28834796593676826	0.6867118152871671	0.30497976199087584	3
273	1.0308404834661	-0.52541595737263	-0.3194841102943032	-0.15451345867420696	0.8626311907751921	0.07877676617171585	3
274	1.1032575101639432	-0.47405156678858223	-0.19142686984461343	0.4066904495841632	0.6506745629199949	0.3655338219828032	3
275	1.1958142979603787	-0.5977343997813218	-0.45948411291995245	0.04592176766849349	0.3822153026849308	0.2770408198976394	3
276	1.2999150044777839	-0.36661851359695596	-0.04410340796273557	-0.5544108466827381	0.11826048719930422	-0.15426918482978194	3
277	1.4113241878508673	-0.04643391454400279	0.3203667758953604	-0.28757307676201543	-0.13121084322852175	-0.3028933404551395	3
278	1.5245959613981563	-0.28877431033700673	-0.17814481527351503	0.25966636194349496	0.11071676197954317	0.021204355164974237	3
279	1.6280024221263512	-0.6001991957560271	-0.5351823539250807	-0.0007799760451042121	-0.06332430974018721	-0.1938569731537498	0
280	1.7069335489371202	-0.7136590245787806	-0.6117357594460731	-0.4068467997639988	-0.5958254884473261	-0.6280144299381191	0
281	1.7550058990136097	-0.6462134939691665	-0.5904505063208526	-0.46155255849231847	-0.49110904883121786	-0.7162532031271726	0
282	1.785247721564628	-0.6711438241225172	-0.660376322776016	-0.8485422355363154	-0.376166698962998	-0.7108125655250522	0
283	1.8270965388197002	-0.7783150936975101	-0.781884940837009	-0.9251643292599955	-0.16464817091634937	-0.19796753691628494	0
284	1.8833984114883728	-0.6108888239194168	-0.4565011631049548	-0.5397271227452436	-0.2327049732501476	-0.00018364764216077058	0
285	1.9305651396568402	-0.3971170137348166	-0.22764310158865314	-0.2171863261882532	-0.4634790468710608	-0.31243799452856175	0
286	1.9533398841291563	-0.20897581856030392	0.1526731939994927	-0.4408218747314781	-0.42313538512017745	-0.34121334456419383	0
287	1.943285228267502	-0.2227582044313146	0.17451133495317586	-0.2862581043207416	-0.3902249977864661	-0.39863918733059756	0
288	1.8958047958558486	-0.2980536180724435	-0.31957182364072323	0.15563831573117007	-0.2846483699286278	-0.5912690959704422	0
289	1.8099635504571665	-0.3926564370579179	-0.3080154087679394	-0.03599936653572411	-0.3250172244665806	-0.7399392557504461	0
290	1.6888349087754657	-0.5618023240440653	-0.3584740658221968	-0.3871003692389258	-0.415338669655911	-0.6169105881537166	0
291	1.5403266831394364	-0.4341845890281605	-0.0661642339822841	-0.28556751638503347	-0.3972669591128826	-0.22230506899689878	0
292	1.3793141331313852	-0.4823524451981163	-0.1625913813024334	-0.2297621497274331	-0.3998290161889843	-0.3301294141410183	0
293	1.2286932069882495	-0.6459342516276035	-0.677672815913802	-0.46949285846465166	-0.4587308446228099	-0.6014419358191168	0
294	1.1082741274993968	-0.44957760023697185	-0.3353164499804412	-0.5434203318335332	-0.4734383440523842	-0.2489835208446175	0
295	1.012698809483612	-0.4226271954582608	-0.11442459795693083	-0.508072883512982	-0.3897884557567634	-0.11990382355632419	0
296	0.9187020877537991	0.00964487532865834	0.3255223107503667	-0.1634818253262502	-0.34556603577259204	-0.270118135290996	3
297	0.8119794959774927	0.19832558921226706	0.3682145266641738	0.3122754942841333	-0.380835429069674	-0.40544647306095843	3
298	0.6896947943969951	0.6314563769327479	0.07177590097729872	0.6731338294165378	-0.49090860349726556	-0.21330731444131162	2
299	0.5533437889926476	2.0629529594018474	1.0162454928600726	1.2298392279185117	0.5749379990056279	2.374939835301666	2
300	0.4066105816325631	1.806948601219365	1.6426856407183963	1.163187651390015	1.912059995242372	2.736592944171458	2
301	0.25453975855531435	0.2497912460007288	0.607893958782092	0.1480795609713717	1.467886262450498	0.6871762380119733	3
302	0.10376645689624105	-0.3947382530842491	-0.20804501871312692	-0.4887797889592533	0.17454691168744557	-0.09976758965506959	0
303	-0.03420141155171869	-0.3998703759340938	-0.036638588660146985	-0.21599096219238967	-0.39851217682976625	-0.5150529523577057	0
304	-0.1377287723109883	-0.5662928235918326	-0.22328228330653943	-0.0253308254416763	-0.35431943957997053	-0.3162045405026597	0
305	-0.20005668131539023	-0.6800997868123406	-0.63914026457545	0.06413951611705561	-0.397884208335828	-0.3134111547152168	0
306	-0.2336126506281986	-0.6562467983781967	-0.7520335447702273	0.2884747867207971	-0.41699296172084	-0.4037599838982052	0
307	-0.228434642450684	-0.6453165838321044	-0.7293530411972473	-0.28045398653205217	-0.33605458831981116	-0.5100158658675558	0
308	-0.15446691409726904	-0.657657651089739	-0.5801146410238388	-0.8291102682938887	-0.2808335443832503	-0.23171667167862905	0
309	-0.007201246266391558	-0.6781063796006891	-0.5835860303573949	-0.6350909594990858	-0.32646895716434354	-0.2623989455863321	0
310	0.1928969369121304	-0.6793757232552662	-0.7263736763350428	-0.229455227363067	0.11601090021301627	0.1392955125361752	0
311	0.4223594361877995	-0.6464806977823598	-0.7318081040574781	0.12770712176317983	0.7601622708555431	1.251078291724224	3
312	0.6565463517482764	-0.004011703554194253	0.25232059062189544	1.6871848684236481	1.0213673865758097	1.4460798483056179	3
313	0.8746633232512331	-0.022655421161042515	0.3782425803473213	1.1348347750351677	0.5244273112483973	0.4664747245219266	3
314	1.0591637693011227	-0.695462331703825	-0.632834096669392	-0.8461831692952368	-0.24415606999333844	-0.18031150052254277	0
315	1.195959549993582	-0.674463914576741	-0.6716417734393488	-0.5999793174249809	-0.40728710603347645	-0.06255717472655595	0
316	1.2754706676045615	-0.5748139964603628	-0.5505594634405457	-0.2626881461349158	-0.34367168447914886	-0.12950592002894973	0
317	1.2935597501147402	-0.5916969355954523	-0.6395056515101329	-0.14180740295848535	-0.2776990898880772	-0.2571647025203232	0
318	1.256358363477531	-0.6764325958903055	-0.5107246153681494	-0.22876906844052558	-0.17198125786616403	-0.4344218286787343	0
319	1.1788175716164142	-0.6986728709272257	-0.47005872254160574	-0.29159792749327385	-0.10767869380622644	-0.40065099083244	0
320	1.070160006848399	-0.3666895790715336	-0.24904142358336323	-0.25769112041732484	0.21497621849481519	0.4081995769247394	3
321	0.9433045152545876	-0.31387547759460777	-0.03943158450721178	0.056224255717797766	0.4103419155458562	0.3966037544435715	3
