time,cr_v,cr_a
24.98,0.42753125,0.18165625
25.01,0.42559375,0.1819375
25.05,0.4238125,0.18234375
25.08,0.422,0.1825625
25.11,0.4200625,0.18221874999999998
25.15,0.41815625,0.18209375
25.18,0.41621874999999997,0.1818125
25.21,0.4151875,0.1824375
25.25,0.41503124999999996,0.18378125
25.28,0.41512499999999997,0.18528125
25.31,0.41565625,0.1866875
25.35,0.419625,0.18721875
25.38,0.42321875,0.187375
25.41,0.4269375,0.1875625
25.45,0.4293125,0.1873125
25.48,0.42943749999999997,0.18740625
25.51,0.42934374999999997,0.1875625
25.55,0.42928125,0.187625
25.58,0.42946875,0.188625
25.61,0.42971875,0.18978125
25.65,0.43025,0.1910625
25.68,0.4328125,0.1943125
25.71,0.43934375,0.20021875
25.75,0.44578125,0.20600000000000002
25.78,0.45221875,0.2118125
25.81,0.45121875,0.211625
25.85,0.44521875,0.208125
25.88,0.439,0.20453125
25.91,0.43290625,0.20099999999999998
25.95,0.4318125,0.1983125
25.98,0.43165625,0.19565625
26.01,0.43140625,0.19315625
26.05,0.4311875,0.19134375
26.08,0.43134374999999997,0.1913125
26.12,0.43146875,0.19128125
26.15,0.4315,0.19125
26.18,0.43196875,0.1913125
26.22,0.43246874999999996,0.19115625
26.25,0.432875,0.19115625
26.28,0.4333125,0.19103124999999999
26.32,0.43365624999999997,0.19075
26.35,0.4336875,0.19037500000000002
26.38,0.43321875,0.19003125
26.42,0.43296875,0.19037500000000002
26.45,0.4326875,0.1909375
26.48,0.43174999999999997,0.19171875
26.52,0.43046874999999996,0.1921875
26.55,0.42878125,0.1918125
26.58,0.42771875,0.1920625
26.62,0.4281875,0.1924375
26.65,0.42840625,0.193125
26.68,0.42815625,0.19371875
26.72,0.42765625,0.19421875
26.75,0.4271875,0.19465625
26.78,0.42665625,0.19528125
26.82,0.42609375,0.195875
26.85,0.42543749999999997,0.1963125
26.88,0.42484375,0.19665625
26.92,0.42453124999999997,0.19703125
26.95,0.42434374999999996,0.19721875
26.98,0.42396875,0.197375
27.02,0.4208125,0.19903125
27.05,0.4160625,0.201625
27.08,0.409875,0.2041875
27.12,0.4029375,0.20678125
27.15,0.39675,0.2089375
27.18,0.390875,0.21125
27.22,0.3865625,0.2136875
27.25,0.38559375,0.21425
27.28,0.38640625,0.21340625
27.32,0.38721875,0.212625
27.35,0.38796875,0.211625
27.38,0.38765625,0.21125
27.42,0.38715625,0.21090625
27.45,0.38690625,0.21059375
27.48,0.38665625,0.21021875
27.52,0.38615625,0.2119375
27.55,0.38568749999999996,0.21371874999999999
27.58,0.38525,0.2154375
27.62,0.38521875,0.21765625
27.65,0.38534375,0.2200625
27.68,0.38565625,0.22243749999999998
27.72,0.3859375,0.22493749999999998
27.75,0.385625,0.2273125
27.78,0.38587499999999997,0.22984374999999999
27.82,0.38728125,0.23259375
27.85,0.389,0.23515625
27.88,0.39109375,0.2384375
27.92,0.3929375,0.242375
27.95,0.394625,0.24634375
27.98,0.3934375,0.2511875
28.02,0.39034375,0.25621875
28.05,0.38568749999999996,0.26125
28.08,0.38096874999999997,0.26534375
28.12,0.37628125,0.26765625
28.15,0.3733125,0.2688125
28.18,0.371125,0.2700625
28.22,0.372625,0.2685
28.25,0.37278125,0.2665
28.28,0.372,0.26453125
28.32,0.3708125,0.26290625
28.35,0.36696875,0.263625
28.38,0.36440625,0.2645
28.42,0.36124999999999996,0.26528125
28.45,0.35871875,0.2660625
28.48,0.3568125,0.26775
